City,Cloudiness,Humidity,Latitude,Temperature,Wind Speed
ushuaia,90,69,-54.81,39.2,14.99
banda aceh,32,93,5.56,76.39,2.17
busselton,44,55,-33.64,50.0,10.45
hilo,1,57,19.71,78.8,3.36
bethel,75,73,60.79,28.4,16.11
araouane,0,18,18.9,76.57,10.67
narsaq,75,26,60.91,44.6,6.93
port alfred,12,88,-33.59,62.01,1.99
xingyi,0,70,24.19,53.8,3.96
khatanga,68,87,71.98,19.51,6.76
payo,88,98,-3.75,72.43,1.95
teruel,40,86,40.34,53.6,11.41
puerto ayora,20,66,-0.74,87.8,18.34
yellowknife,90,57,62.45,18.0,14.99
san rafael,0,14,-34.61,81.16,4.97
baykit,76,86,61.68,27.7,8.21
mataura,0,75,-46.19,34.99,2.95
upernavik,0,81,72.79,32.99,16.69
goderich,0,73,43.74,53.01,4.0
mar del plata,0,31,-46.43,70.63,4.97
castro,75,87,-42.48,59.0,17.22
airai,0,83,-8.93,67.19,1.92
luanda,75,88,-8.83,82.4,9.17
dikson,64,93,73.51,15.89,7.96
vestmanna,36,100,62.16,41.0,9.17
almaznyy,0,53,48.03,50.0,11.18
whitefish,75,45,48.41,51.01,11.41
vaini,0,76,15.34,71.24,2.71
la ronge,90,55,55.1,35.6,12.75
nikolskoye,0,55,59.7,39.99,6.71
grindavik,75,65,63.84,43.0,12.75
bayan,12,63,47.25,7.54,3.06
beyneu,88,64,45.32,48.58,14.58
avarua,64,69,-21.21,78.8,6.93
urucara,12,80,-2.54,83.05,2.73
east london,0,88,-33.02,62.6,6.93
petukhovo,0,78,55.06,25.09,2.73
atuona,8,98,-9.8,82.96,14.81
vao,0,76,59.1,33.82,3.62
esperance,75,66,10.24,86.0,21.92
north bend,90,87,43.41,57.0,23.04
saskylakh,64,81,71.97,17.69,17.58
ahipara,24,100,-35.17,50.63,4.27
carmen,48,93,7.2,67.66,2.73
tuktoyaktuk,20,70,69.44,-0.41,12.75
bambous virieux,75,74,-20.34,80.6,11.41
florianopolis,90,94,-27.6,75.0,6.93
new norfolk,0,71,-42.78,50.0,8.05
hobart,0,71,-42.88,50.0,8.05
hobyo,76,90,5.35,78.73,8.43
pyshma,0,64,56.95,22.3,3.74
port elizabeth,40,48,39.31,68.0,5.82
hithadhoo,0,100,-0.6,84.13,6.53
chokurdakh,88,84,70.62,14.45,7.85
talaya,0,47,55.79,35.6,4.47
lerwick,20,81,60.15,44.6,19.46
georgetown,40,74,6.8,84.2,13.87
lavrentiya,48,100,65.58,9.88,5.86
carnarvon,0,68,-30.97,48.31,3.96
polunochnoye,0,65,60.87,18.61,2.39
thompson,20,32,55.74,26.6,5.82
thinadhoo,44,100,0.53,83.68,1.61
albany,40,50,42.65,57.99,10.29
linfen,8,48,36.09,51.1,4.18
parsabad,75,87,39.65,53.6,3.38
san patricio,64,76,-26.98,70.36,5.75
hasaki,40,87,35.73,52.0,12.75
cabo san lucas,5,60,22.89,82.0,9.17
newport,90,66,51.59,52.0,13.87
phan thiet,56,96,10.93,79.81,11.12
cape town,0,82,-33.93,66.99,13.87
kulunda,20,77,52.57,32.83,11.23
port lincoln,88,100,-34.72,58.66,12.12
jamestown,0,82,-33.21,43.7,2.15
ancud,75,87,-41.87,59.0,17.22
saint george,75,66,39.45,55.4,5.82
rikitea,76,100,-23.12,77.27,14.67
matay,88,60,28.42,68.2,7.99
zhezkazgan,0,83,47.8,34.54,8.99
kavieng,92,100,-2.57,81.52,5.41
geraldton,75,55,49.72,35.6,3.36
kapaa,1,69,22.08,77.0,6.93
torbay,90,32,47.66,39.2,19.46
afyonkarahisar,92,10,38.76,45.0,8.01
bluff,0,88,-23.58,64.06,7.65
caravelas,0,98,-17.73,82.76,11.88
zhigansk,0,69,66.77,13.55,3.15
katsuura,20,71,33.93,51.8,4.7
gorzow wielkopolski,0,51,52.74,50.0,11.21
wundanyi,24,77,-3.4,72.88,4.07
itarema,92,100,-2.92,75.4,5.41
lebu,5,55,8.96,66.2,11.41
ust-tsilma,8,84,65.44,25.18,6.08
omsukchan,48,88,62.53,22.84,3.4
jacmel,40,43,18.24,91.4,17.22
limon,1,22,39.26,68.0,5.82
meulaboh,92,100,4.14,76.93,5.64
la palma,20,62,5.36,80.98,0.94
mixquiahuala,76,42,20.23,74.32,1.16
montevideo,90,93,44.94,55.99,6.93
kaitangata,0,73,-46.28,38.77,5.53
norman wells,75,67,65.28,21.2,18.34
barrow,20,36,-38.31,73.69,12.46
touros,75,83,-5.2,80.6,9.17
margate,0,71,-43.03,50.0,8.05
sitka,76,59,37.17,66.99,10.0
barstow,1,11,31.46,80.6,16.11
punta arenas,40,57,-53.16,48.2,53.02
umm lajj,64,87,25.02,68.47,3.85
codrington,75,93,-28.95,64.99,6.93
tazovskiy,88,90,67.47,27.77,19.93
siderno,20,87,38.28,60.01,4.7
naze,75,83,5.43,78.8,2.24
kysyl-syr,0,76,63.9,14.83,3.06
manjeshwar,20,78,12.72,82.4,6.87
klaksvik,48,97,62.23,41.0,9.17
joshimath,88,100,30.57,24.28,0.6
mogadishu,0,100,2.04,83.3,13.44
augusto correa,92,90,-1.02,77.83,4.63
anadyr,0,84,64.73,-2.01,4.47
dingle,24,93,11.0,76.28,8.3
yablonovo,0,69,50.85,39.2,8.95
whitehorse,75,59,60.72,35.01,16.11
wajid,36,33,3.81,84.04,8.43
komsomolskiy,80,88,67.55,26.6,22.5
orlik,44,58,52.51,0.52,1.95
ribeira grande,75,82,38.52,62.6,24.16
beloha,0,60,-25.17,79.45,11.68
bend,40,54,44.06,55.0,24.16
te anau,0,72,-45.41,23.45,4.16
tuatapere,0,100,-46.13,43.25,4.38
jiazi,40,94,19.61,75.2,2.24
plessisville,75,80,46.22,46.0,14.99
manicore,8,73,-5.81,86.02,2.73
ugoofaaru,80,100,5.67,84.76,5.19
nanortalik,24,93,60.14,32.83,20.07
hermanus,0,82,-34.42,66.0,5.99
gotsu,0,81,35.01,47.05,7.43
grand gaube,75,74,-20.01,80.6,11.41
sorland,76,100,67.67,38.32,24.76
sayyan,0,86,15.17,47.59,1.61
sujiatun,0,74,45.81,28.4,8.95
kodiak,1,16,39.95,77.0,18.34
hearst,8,53,49.69,36.16,3.62
saraland,75,74,30.82,82.0,11.41
cidreira,92,94,-30.17,69.73,8.1
kohlu,8,35,29.9,55.51,1.95
ambilobe,8,81,-13.19,73.33,5.97
kahului,20,65,20.89,77.0,4.7
kita,75,54,35.76,57.0,10.29
tasiilaq,92,92,65.61,32.0,33.33
upper arlington,90,45,39.99,69.01,5.82
padang,40,94,-0.92,77.0,3.36
vestmannaeyjar,75,90,63.44,41.0,25.28
kuytun,0,57,54.34,18.43,5.75
kununurra,68,94,-15.77,77.0,3.71
angoche,56,100,-16.23,81.7,10.33
constitucion,5,10,23.99,72.0,14.99
arraial do cabo,0,66,-22.97,87.8,9.17
tapes,92,98,-30.67,68.2,8.99
samarai,92,100,-10.62,76.01,2.71
college,75,55,64.86,35.6,8.05
arlit,0,21,18.74,91.85,6.17
ondjiva,20,47,-17.07,73.78,2.17
longyearbyen,40,62,78.22,19.4,19.46
hofn,12,100,64.25,35.8,21.07
navalmoral de la mata,92,74,39.89,43.0,10.22
provideniya,48,100,64.42,14.56,5.75
ratnagiri,0,100,16.98,79.63,9.66
batemans bay,32,92,-35.71,57.0,3.74
fort nelson,90,79,58.81,26.6,2.24
santa fe,0,32,-31.62,82.0,1.99
qaanaaq,56,88,77.48,12.49,10.0
bredasdorp,0,82,-34.53,64.4,6.93
ciudad bolivar,0,34,8.12,92.59,16.37
saint-philippe,75,70,45.36,46.0,14.99
ichhawar,0,26,23.03,82.4,10.29
reconquista,0,60,-29.14,73.96,4.63
isangel,0,100,-19.55,77.0,16.46
honningsvag,12,99,70.98,30.04,11.23
kamenka,92,85,53.19,37.99,4.85
poum,75,62,41.28,51.8,4.7
vardo,20,48,39.62,68.0,8.05
abha,0,63,18.22,64.4,4.7
mount isa,0,53,-20.73,73.4,8.05
yorosso,20,27,12.35,90.25,9.66
hamilton,75,83,32.3,70.0,16.11
pangnirtung,90,62,66.15,21.2,8.05
port blair,0,100,11.67,83.59,3.18
port macquarie,40,100,-31.43,60.01,1.12
flinders,40,93,-34.58,66.99,6.93
alizai,0,63,33.94,55.87,3.18
koulikoro,0,19,12.86,98.6,11.41
jalu,0,72,29.03,65.41,3.18
alyangula,90,94,-13.85,77.0,10.29
hambantota,40,100,6.12,78.8,6.2
kyren,8,75,51.68,5.74,1.95
laguna,5,26,27.52,80.6,6.93
kem,0,49,2.68,77.38,13.02
antofagasta,90,77,-23.65,64.4,13.87
tautira,20,74,-17.73,86.0,2.24
quang ngai,0,91,15.12,64.6,2.17
brigantine,1,59,39.41,66.2,4.7
sao gabriel da cachoeira,40,63,-0.13,91.4,4.7
buala,12,90,-8.15,83.23,3.51
tanout,0,21,14.97,80.71,5.64
pasighat,0,71,28.06,61.45,2.51
baie-comeau,90,80,49.22,41.0,18.34
tecolutla,20,34,17.31,78.91,2.62
cherskiy,0,73,68.75,8.26,2.28
otjimbingwe,0,90,-22.35,60.46,2.73
labuhan,88,97,-2.54,72.16,1.16
aktau,80,71,43.65,55.4,8.95
taksimo,0,67,56.36,7.72,1.95
half moon bay,90,82,37.46,68.0,14.99
biak,80,100,-0.91,78.64,2.73
vila velha,75,74,-3.71,82.4,14.99
eyl,0,100,7.98,76.48,4.29
betong,48,97,5.77,73.24,2.51
saint-pierre,0,71,48.95,55.0,6.93
ponta do sol,8,90,-20.63,72.7,1.28
luganville,88,100,-15.51,77.83,9.78
byron bay,0,93,-28.65,64.99,4.74
ishigaki,0,100,24.34,74.93,11.88
kon tum,12,91,14.36,62.35,2.17
esso,68,86,55.93,20.23,4.41
puerto escondido,40,69,15.86,80.6,11.41
singosari,12,92,-7.89,67.84,2.62
humboldt,92,96,52.21,35.53,17.16
lasa,20,82,34.92,59.0,5.82
verkhnyaya inta,0,70,65.99,27.5,9.19
lagoa,40,67,37.14,57.2,20.8
sao joao batista,12,60,-3.13,88.72,5.86
adrar,0,27,27.87,77.0,8.05
nantucket,1,62,41.28,64.0,6.93
porto novo,92,100,-23.68,71.44,2.62
petrovskaya,0,71,45.43,50.0,6.71
pathardi,0,38,19.17,71.71,6.64
lazurne,0,68,46.77,44.98,10.78
